SpeciesName,Taxon,TaxonCode,Terrestriality,Diurnality,ECV,Body mass,logECV,logBodyMass
Hoolock_hoolock,Haplorhine,1,0,1,108.32,6955.2,2.034694221,3.842307541
Hylobates_agilis,Haplorhine,1,0,1,95.94,5850,1.982003067,3.767155866
Hylobates_klossii,Haplorhine,1,0,1,87.55,5795,1.942273445,3.76305344
Hylobates_lar,Haplorhine,1,0,1,101.38,5625,2.005942,3.750124152
Hylobates_moloch,Haplorhine,1,0,1,93.47,6415,1.970668669,3.807196661
Hylobates_muelleri,Haplorhine,1,0,1,95.36,5647.4,1.979351679,3.751848549
Hylobates_pileatus,Haplorhine,1,0,1,84.69,5470,1.927807442,3.737987326
Indri_indri,Strepsirrhine,2,0,1,35.01,6485,1.544175311,3.81190998
Lagothrix_cana,Haplorhine,1,0,1,96.23,7160,1.983299722,3.854913022
Lagothrix_lagotricha,Haplorhine,1,0,1,88.22,7020,1.945558103,3.846337112
Lagothrix_poeppigii,Haplorhine,1,0,1,86.1,4533,1.935003151,3.656385719
Lemur_catta,Strepsirrhine,2,1,1,22.1,2188,1.344422961,3.340037393
Leontopithecus_chrysomelas,Haplorhine,1,0,1,11.84,655,1.073196545,2.8162413
Leontopithecus_rosalia,Haplorhine,1,0,1,12.6,594.5,1.100525151,2.774151859
Lepilemur_leucopus,Strepsirrhine,2,0,0,6.71,605.5,0.826775374,2.782114147
Lepilemur_mustelinus,Strepsirrhine,2,0,0,7.91,804,0.897970543,2.905256049
Lepilemur_ruficaudatus,Strepsirrhine,2,0,0,7.57,780.5,0.879287072,2.892372907
Lophocebus_albigena,Haplorhine,1,0,1,90.64,6010,1.957332717,3.778874472
Lophocebus_aterrimus,Haplorhine,1,0,1,87.6,5760,1.942507458,3.760422483
Loris_lydekkerianus,Strepsirrhine,2,0,0,6.37,273,0.803801631,2.436162647
Loris_tardigradus,Strepsirrhine,2,0,0,5.38,192.5,0.731080206,2.284430734
Macaca_arctoides,Haplorhine,1,1,1,99.51,8400,1.997863903,3.924279286
Macaca_assamensis,Haplorhine,1,0,1,89.1,6900,1.949875777,3.838849091
Macaca_cyclopis,Haplorhine,1,1,1,76.1,4940,1.881384657,3.693726949
Macaca_fascicularis,Haplorhine,1,0,1,60.93,3514,1.784859326,3.54585119
Macaca_fuscata,Haplorhine,1,1,1,97.9,8800,1.990782692,3.944482672
Macaca_hecki,Haplorhine,1,0,1,94.58,6800,1.97579931,3.832508913
Macaca_leonina,Haplorhine,1,0,1,82.12,4763,1.914473202,3.677850187
Macaca_maura,Haplorhine,1,0,1,87.37,5565,1.941345766,3.745494823
Macaca_mulatta,Haplorhine,1,1,1,84.17,5670,1.925166534,3.75361969
Macaca_nemestrina,Haplorhine,1,0,1,97.85,6539,1.990579685,3.815521669
Macaca_nigra,Haplorhine,1,1,1,80.98,5470,1.908350957,3.737987326
Macaca_radiata,Haplorhine,1,0,1,70.51,3856,1.84823353,3.586099481
Macaca_silenus,Haplorhine,1,0,1,78,6100,1.892094603,3.785329835
Macaca_sinica,Haplorhine,1,0,1,60.4,3066,1.781036939,3.486572151
Macaca_sylvanus,Haplorhine,1,1,1,92.91,10200,1.968078621,4.008600172
Macaca_thibetana,Haplorhine,1,1,1,108.9,12800,2.03702788,4.10720997
Macaca_tonkeana,Haplorhine,1,1,1,93.79,8135,1.972160745,3.910357557
Mandrillus_leucophaeus,Haplorhine,1,1,1,133.18,8500,2.124427499,3.929418926
Mandrillus_sphinx,Haplorhine,1,1,1,136.42,8957,2.134883616,3.952162574
Mico_argentatus,Haplorhine,1,0,1,7.76,345,0.889590667,2.537819095
Mico_humeralifer,Haplorhine,1,0,1,8.38,370,0.923021854,2.568201724
Microcebus_murinus,Strepsirrhine,2,0,0,1.6,65.1,0.205375426,1.813580989
Microcebus_rufus,Strepsirrhine,2,0,0,1.63,43,0.210926044,1.633468456
Miopithecus_ogouensis,Haplorhine,1,0,1,34.76,1560,1.541073699,3.193124598
Mirza_coquereli,Strepsirrhine,2,0,0,5.79,311.5,0.762430983,2.493458051
Nasalis_larvatus,Haplorhine,1,0,1,84.85,9730,1.928636608,3.988097087
Nomascus_concolor,Haplorhine,1,0,1,125.67,6500,2.099236552,3.812913357
Nomascus_gabriellae,Haplorhine,1,0,1,117.04,6938.6,2.068350805,3.841271852
Nomascus_leucogenys,Haplorhine,1,0,1,121.97,6520,2.086241155,3.814247596
Nycticebus_bengalensis,Strepsirrhine,2,0,1,12.87,1248,1.109652019,3.096236334
Nycticebus_coucang,Strepsirrhine,2,0,0,9.97,652.5,0.998877699,2.814580516
Nycticebus_javanicus,Strepsirrhine,2,0,0,10.38,656.5,1.016193978,2.817208268
Nycticebus_pygmaeus,Strepsirrhine,2,0,0,7.23,420,0.859078936,2.62324929
Otolemur_crassicaudatus,Strepsirrhine,2,0,0,11.75,1150,1.070110175,3.06069784
Otolemur_garnettii,Strepsirrhine,2,0,0,10.77,1188,1.032067584,3.074816441
Pan_paniscus,Haplorhine,1,1,1,326.25,33200,2.51355052,4.521138084
Pan_troglodytes,Haplorhine,1,1,1,357.71,40366.7,2.553534371,4.606022888
Papio_anubis,Haplorhine,1,1,1,156.06,12200,2.193281702,4.086359831
Papio_cynocephalus,Haplorhine,1,1,1,149.54,10358,2.174754573,4.015275907
Papio_hamadryas,Haplorhine,1,1,1,137,9900,2.136720567,3.995635195
Papio_ursinus,Haplorhine,1,1,1,165,14800,2.217483944,4.170261715
